nohup: ignoring input
psi0.01_Mdot1e-9_M0.15_Rd10	Skipping: 0.01_1e-09_0.15_10
psi0.01_Mdot1e-9_M0.15_Rd20	Skipping: 0.01_1e-09_0.15_20
psi0.01_Mdot1e-9_M0.15_Rd50	Skipping: 0.01_1e-09_0.15_50
psi0.01_Mdot1e-9_M0.15_Rd100	Skipping: 0.01_1e-09_0.15_100
psi0.01_Mdot1e-9_M0.15_Rd150	Skipping: 0.01_1e-09_0.15_150
psi0.01_Mdot1e-9_M0.15_Rd200	Skipping: 0.01_1e-09_0.15_200
psi0.01_Mdot3e-9_M0.01_Rd10	Skipping: 0.01_3e-09_0.01_10
psi0.01_Mdot3e-9_M0.01_Rd20	Skipping: 0.01_3e-09_0.01_20
psi0.01_Mdot3e-9_M0.01_Rd50	Skipping: 0.01_3e-09_0.01_50
psi0.01_Mdot3e-9_M0.01_Rd100	[2025-10-03 00:04:00] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-02_Rd1.0e+02.h5
psi0.01_Mdot3e-9_M0.01_Rd150	[2025-10-03 01:06:00] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-02_Rd1.5e+02.h5
psi0.01_Mdot3e-9_M0.01_Rd200	[2025-10-03 01:22:06] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-02_Rd2.0e+02.h5
psi0.01_Mdot3e-9_M0.05_Rd10	[2025-10-03 01:22:09] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd1.0e+01.h5
psi0.01_Mdot3e-9_M0.05_Rd20	[2025-10-03 01:35:41] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd2.0e+01.h5
psi0.01_Mdot3e-9_M0.05_Rd50	[2025-10-03 01:48:20] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd5.0e+01.h5
psi0.01_Mdot3e-9_M0.05_Rd100	[2025-10-03 04:33:36] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd1.0e+02.h5
psi0.01_Mdot3e-9_M0.05_Rd150	[2025-10-03 05:43:05] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd1.5e+02.h5
psi0.01_Mdot3e-9_M0.05_Rd200	[2025-10-03 07:05:36] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M5.0e-02_Rd2.0e+02.h5
psi0.01_Mdot3e-9_M0.1_Rd10	[2025-10-03 07:22:11] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd1.0e+01.h5
psi0.01_Mdot3e-9_M0.1_Rd20	[2025-10-03 07:42:14] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd2.0e+01.h5
psi0.01_Mdot3e-9_M0.1_Rd50	[2025-10-03 07:51:33] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd5.0e+01.h5
psi0.01_Mdot3e-9_M0.1_Rd100	[2025-10-03 08:14:20] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd1.0e+02.h5
psi0.01_Mdot3e-9_M0.1_Rd150	[2025-10-03 09:06:51] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd1.5e+02.h5
psi0.01_Mdot3e-9_M0.1_Rd200	[2025-10-03 09:15:35] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.0e-01_Rd2.0e+02.h5
psi0.01_Mdot3e-9_M0.125_Rd10	[2025-10-03 09:41:45] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd1.0e+01.h5
psi0.01_Mdot3e-9_M0.125_Rd20	[2025-10-03 09:58:44] Launching: /home/mbalogh/projects/PlanetFormation/DiscEvolution/output/HJpaper/winds_mig_psi0.01_Mdot3.0e-09_M1.2e-01_Rd2.0e+01.h5
