# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 959999.9999999957yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 960000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.11014502500000001 1276.3706234803306 4853.6641048101965 0.00015030050835859084 0.00045090152507577255 1e-05 0.5782661132515117 1.30760E-09 6.06929E-09
0.131905225 1188.4568744043236 3947.8119243763035 0.00014180447960611447 0.0004254134388183434 1e-05 0.6620067251093209 1.31378E-09 6.02388E-09
0.155625625 1113.4196518058554 3267.171958065436 0.00012792473987181525 0.00038377421961544576 1e-05 0.7494565209992755 1.31899E-09 5.98544E-09
0.18130622500000002 1048.5405685007363 2743.8227342985765 0.00011538983812201155 0.00034616951436603464 1e-05 0.8404473792397714 1.32342E-09 5.95256E-09
0.208947025 991.8167764516531 2333.4241844222925 0.00010415435102454624 0.0003124630530736387 1e-05 0.9348428725139766 1.32721E-09 5.92411E-09
0.23854802500000002 941.7464729861575 2006.106454859062 9.413170681964887e-05 0.0002823951204589466 1e-05 1.0325196154220806 1.33049E-09 5.89923E-09
0.27010922499999995 897.1802200653151 1741.180400146644 8.521677948307273e-05 0.00025565033844921815 1e-05 1.1333647386272854 1.33332E-09 5.87728E-09
0.30363062499999993 857.2224503786332 1523.965908218171 7.729862357296605e-05 0.00023189587071889816 1e-05 1.2372738120188864 1.33578E-09 5.85775E-09
0.33911222499999993 821.1644063559042 1343.8241100934445 7.026835865290047e-05 0.0002108050759587014 1e-05 1.3441490833904979 1.33792E-09 5.84025E-09
0.37655402499999996 788.4373642734959 1192.8995602309947 6.40236569609351e-05 0.00019207097088280527 1e-05 1.453897944202445 1.33977E-09 5.82446E-09
0.415956025 758.5793055085885 1065.2948281482743 5.8470973469905476e-05 0.00017541292040971644 1e-05 1.5664315578802015 1.34138E-09 5.81013E-09
0.457318225 731.2107160073932 956.5160603079859 5.352634677846414e-05 0.0001605790403353924 1e-05 1.681663602415962 1.34276E-09 5.79704E-09
0.5006406250000001 706.0167143975235 863.0927044383427 4.911534249996931e-05 0.00014734602749990792 1e-05 1.7995090905140656 1.34393E-09 5.78503E-09
0.545923225 682.7336515629838 782.3117457498669 4.5172517806780256e-05 0.00013551755342034076 1e-05 1.9198832387947362 1.34491E-09 5.77394E-09
0.593166025 661.1389238078287 712.0287918588231 4.164064901291643e-05 0.0001249219470387493 1e-05 2.0427003636749204 1.34572E-09 5.76366E-09
0.6423690250000001 641.0431315299369 650.5316961968291 3.8469871309296205e-05 0.00011540961392788861 1e-05 2.1678727861493723 1.34637E-09 5.75409E-09
0.6935322250000001 622.2839740755355 596.4407116379799 3.561682118212916e-05 0.00010685046354638747 1e-05 2.295309731231866 1.34686E-09 5.74513E-09
0.7466556250000002 604.7214464567719 548.6344390127717 3.3043854575401236e-05 9.913156372620371e-05 1e-05 2.424916210429879 1.34721E-09 5.73671E-09
0.8017392250000002 588.2340242001201 506.19425028486614 3.071853522770875e-05 9.215560568312625e-05 1e-05 2.5565918763850153 1.34741E-09 5.72876E-09
0.8587830250000003 572.715607823396 468.3621184781592 2.8614353121191712e-05 8.584305936357514e-05 1e-05 2.690229831812109 1.34748E-09 5.72123E-09
0.9177870250000001 558.0730622267773 434.5082982221625 2.6716654646641004e-05 8.014996393992301e-05 1e-05 2.8257153389110408 1.34741E-09 5.71407E-09
0.9787512249999999 544.2242370851014 404.1063318796042 2.5043956066734005e-05 7.513186820020201e-05 1e-05 2.962924288309844 1.34723E-09 5.70723E-09
1.0416756249999999 531.0963699164497 376.7135507466746 2.368409834408101e-05 7.105229503224303e-05 1e-05 3.1017213777671038 1.34693E-09 5.70069E-09
1.106560225 518.6246492899102 351.9556409273991 2.2731136694381488e-05 6.819341008314446e-05 1e-05 3.241959404574319 1.34651E-09 5.69439E-09
1.1734050249999999 506.7505079797458 329.5140901916164 2.1821273859684547e-05 6.546382157905364e-05 1e-05 3.383484037117878 1.34592E-09 5.68832E-09
1.2422100249999999 495.4170526964312 309.11435647844127 1.999631765316011e-06 6.465476041188429e-05 1e-05 3.0294896402490514 1.34519E-09 5.68233E-09
1.312975225 484.5864812020599 290.52902927301193 1.9897965724001056e-06 6.433675584093669e-05 1e-05 2.9675676136547944 1.34439E-09 5.67661E-09
1.3857006250000001 474.2113688823439 273.5542717604657 2.0318835575899846e-06 6.56975683620761e-05 1e-05 2.9832897044823654 1.34344E-09 5.67105E-09
1.4603862250000001 464.25152420916845 258.0156093024087 1.996390124522716e-06 6.454994735956775e-05 1e-05 2.8856793652429675 1.34237E-09 5.66558E-09
1.537032025 454.67224677152996 243.7626146983222 2.0026986526531663e-06 6.475392310245231e-05 1e-05 2.84973093191721 1.34117E-09 5.66022E-09
