# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 400000.0yr
# R M_core M_env t_form
0.1101317072990715 2.9210608367836044 0.5333469765259428 0.0
0.11011342606227284 12.58616053171818 5.95236207926838 0.0
0.11013726580985105 9.631780871629754 6.231157536603304 0.0
13.008814178842877 1.4720164007359446 0.44651736623800137 0.0
28.726826223361567 0.33207525575833213 0.044248601094056525 0.0
0.6092476405038217 0.535706996585709 0.06706515828513851 0.0
0.11011688942304046 11.629938652253538 5.5362364329521245 0.0
0.11014417364605608 7.279243557629857 3.3059835039055847 0.0
19.45818303462159 0.12567186852451193 0.01385615825920224 0.0
29.880440248833786 0.032332109077456976 0.002550464951277919 0.0
