# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 519999.9999999972yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 520000.00000000006yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.11014502500000001 1399.4232463739572 5321.580828891561 0.0008535494378951752 0.0025606483136855255 1e-05 0.5766402521499443 1.56751E-09 7.29593E-09
0.131905225 1302.9370220963194 4328.069317936053 0.0008074480049957022 0.0024223440149871065 1e-05 0.6602464943986288 1.57491E-09 7.24026E-09
0.155625625 1220.5194104705527 3581.4113221110833 0.0007312328513876073 0.002193698554162822 1e-05 0.7476531779367865 1.58112E-09 7.19224E-09
0.18130622500000002 1149.2689771815076 3007.3704842099078 0.0006616802230916548 0.0019850406692749644 1e-05 0.8386207593753475 1.58639E-09 7.15108E-09
0.208947025 1086.9849130928799 2557.274982089457 0.0005988055971261135 0.0017964167913783406 1e-05 0.9330103145217781 1.59091E-09 7.11539E-09
0.23854802500000002 1032.0163203432578 2198.3376443044212 0.0005422864233445744 0.001626859270033723 1e-05 1.0306968185226306 1.59479E-09 7.08416E-09
0.27010922499999995 983.0994293550949 1907.8500839530118 0.0004916670538250259 0.0014750011614750778 1e-05 1.1315665024105 1.59814E-09 7.05658E-09
0.30363062499999993 939.2495046761626 1669.7006349290407 0.00044643229065262146 0.0013392968719578644 1e-05 1.235514865234409 1.60104E-09 7.03205E-09
0.33911222499999993 899.6872178059697 1472.2139499350512 0.00040605528100412004 0.0012181658430123602 1e-05 1.3424449832369107 1.60354E-09 7.01005E-09
0.37655402499999996 863.7872690447819 1306.7700586152955 0.0003700266073323701 0.0011100798219971103 1e-05 1.4522660462931718 1.60570E-09 6.99022E-09
0.415956025 831.0417636814205 1166.8981749768566 0.00033787025566578074 0.0010136107669973422 1e-05 1.5648920690494985 1.60755E-09 6.97221E-09
0.457318225 801.0336081769977 1047.6680123288218 0.0003091509192653647 0.000927452757796094 1e-05 1.6802407350613555 1.60913E-09 6.95578E-09
0.5006406250000001 773.4168566760903 945.2723185148333 0.0002834759178116864 0.0008504277534350592 1e-05 1.798232340020053 1.61045E-09 6.94070E-09
0.545923225 747.9019706984351 856.7351377098367 0.0002604940274360266 0.0007814820823080798 1e-05 1.918788806137217 1.61154E-09 6.92679E-09
0.593166025 724.2446115855382 779.7044452492255 0.00023989274878395117 0.0007196782463518535 1e-05 2.0418327446171167 1.61241E-09 6.91390E-09
0.6423690250000001 702.2370125209874 712.3024629841462 0.0002213949668370812 0.0006641849005112437 1e-05 2.167286547277397 1.61308E-09 6.90190E-09
0.6935322250000001 681.7012606355223 653.0160781695455 0.00020475554427345257 0.0006142666328203578 1e-05 2.29507149197992 1.61356E-09 6.89067E-09
0.7466556250000002 662.484011615519 600.6155786579437 0.0001897581088479739 0.0005692743265439217 1e-05 2.4251068496811024 1.61385E-09 6.88012E-09
0.8017392250000002 644.4522912771529 554.0936668794701 0.000176212118384441 0.0005286363551533231 1e-05 2.557308983606013 1.61397E-09 6.87017E-09
0.8587830250000003 627.490130849617 512.619187298394 0.0001639501912390607 0.0004918505737171821 1e-05 2.6915904332693974 1.61391E-09 6.86074E-09
0.9177870250000001 611.4958481327341 475.5016589689401 0.0001528256534671315 0.00045847696040139446 1e-05 2.8278589778085657 1.61368E-09 6.85176E-09
0.9787512249999999 596.3798336873251 442.16383229000905 0.00014271025519984712 0.0004281307655995413 1e-05 2.966016674408231 1.61329E-09 6.84319E-09
1.0416756249999999 582.0627353796199 412.1202671065627 0.00013349202874757962 0.00040047608624273884 1e-05 3.1059588685939974 1.61274E-09 6.83496E-09
1.106560225 568.4739597110378 384.96047326584676 0.0001250732844242894 0.00037521985327286815 1e-05 3.247573173997313 1.61202E-09 6.82705E-09
1.1734050249999999 555.5504270085187 360.33553968509466 0.00011736875721306991 0.00035210627163920975 1e-05 3.390738420006611 1.61115E-09 6.81940E-09
1.2422100249999999 543.2355315255027 337.94745351564825 0.0001103039242999187 0.0003309117728997561 1e-05 3.5353235666473646 1.61011E-09 6.81198E-09
1.312975225 531.4782680757019 317.54051030720916 0.0001038135118037838 0.0003114405354113514 1e-05 3.6811865871551532 1.60891E-09 6.80477E-09
1.3857006250000001 520.2324948957821 298.8943617133868 9.784020526064835e-05 0.00029352061578194504 1e-05 3.8281733200176133 1.60754E-09 6.79772E-09
1.4603862250000001 509.4563086680635 281.81835470400955 9.233358499526704e-05 0.0002770007549858011 1e-05 3.976116293636849 1.60601E-09 6.79081E-09
