# Grid R0: 0.1, R1: 1000, N: 1000, spacing: natural
# SimpleStar M: 1Msun, R: 1Rsun, T: 5770K, age: 800000.0000000112yr
# SimpleDiscEOS gamma: 1.0, mu: 2.33, alpha: 0.001, mu: 2.33, K0= 0.01
# DustGrowthTwoPop feedback: True, rho_s: 1.0g cm^-3, uf_0: 100.0cm s^-1, uf_ice: 1000.0cm s^-1, thresh: 0.1, f_grow: 1.0, a0: 1e-05cm
# ViscousEvolutionFV tol: 0.5
# SingleFluidDrift diffusion: False settling: False van-leer: False
# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 800000.0yr
# R Sigma T epsilon[0] epsilon[1] a[0] a[1] Mdot MdotSS
0.11014502500000001 1316.835162274762 5007.533026661618 0.00023457376082172747 0.0007037212824651824 1e-05 0.5780717455563616 1.39135E-09 6.46020E-09
0.131905225 1226.1235248804435 4072.924850427253 0.0002214964878682414 0.0006644894636047241 1e-05 0.6617968823735696 1.39793E-09 6.41176E-09
0.155625625 1148.6911719407278 3370.6605730215656 0.00020008537982281856 0.0006002561394684556 1e-05 0.7492424537016505 1.40347E-09 6.37065E-09
0.18130622500000002 1081.7425580878773 2830.6919171288714 0.0001806907184336219 0.0005420721553008657 1e-05 0.840231858063779 1.40817E-09 6.33548E-09
0.208947025 1023.2107807508421 2407.2664889307525 0.0001632620780629162 0.0004897862341887486 1e-05 0.9346286021268705 1.41220E-09 6.30503E-09
0.23854802500000002 971.5459717436992 2069.563178657972 0.00014767962970905205 0.00044303888912715616 1e-05 1.0323094029212068 1.41568E-09 6.27841E-09
0.27010922499999995 925.5618963802607 1796.2341189758267 0.0001337917749220952 0.0004013753247662856 1e-05 1.1331616854518964 1.41869E-09 6.25491E-09
0.30363062499999993 884.3343248755484 1572.13193161968 0.00012143516795465487 0.0003643055038639646 1e-05 1.2370815389343386 1.42130E-09 6.23401E-09
0.33911222499999993 847.1318337938438 1386.2792213916719 0.0001104473822405026 0.0003313421467215078 1e-05 1.343971989529126 1.42356E-09 6.21528E-09
0.37655402499999996 813.3675367588328 1230.5706682277473 0.00010067433474019917 0.0003020230042205975 1e-05 1.453741503565189 1.42552E-09 6.19838E-09
0.415956025 782.5646899579915 1098.9213135202135 9.197416529775987e-05 0.0002759224958932796 1e-05 1.5663026582689281 1.42721E-09 6.18303E-09
0.457318225 754.3317166595302 986.6944544336011 8.421883018324889e-05 0.00025265649054974663 1e-05 1.6815709327333972 1.42866E-09 6.16903E-09
0.5006406250000001 728.34376236352 890.3092525394969 7.729429369203235e-05 0.00023188288107609705 1e-05 1.799463582946632 1.42989E-09 6.15616E-09
0.545923225 704.328864403625 806.9665045827593 7.109991266646336e-05 0.00021329973799939008 1e-05 1.9198985727281037 1.43092E-09 6.14430E-09
0.593166025 682.0574380950845 734.4537114010303 6.55474001046029e-05 0.00019664220031380872 1e-05 2.0427935383725484 1.43176E-09 6.13329E-09
0.6423690250000001 661.3341836693447 671.0043596857374 6.055960976047026e-05 0.00018167882928141077 1e-05 2.168064769302904 1.43243E-09 6.12304E-09
0.6935322250000001 641.9917851743471 615.1948979076075 5.606928716095698e-05 0.00016820786148287096 1e-05 2.295626190514207 1.43293E-09 6.11344E-09
0.7466556250000002 623.8859530145149 565.8683287437639 5.201786970628886e-05 0.00015605360911886658 1e-05 2.425388335345452 1.43327E-09 6.10443E-09
0.8017392250000002 606.8914859252012 522.0768641292042 4.835437876277854e-05 0.00014506313628833561 1e-05 2.5572572993608196 1.43346E-09 6.09592E-09
0.8587830250000003 590.8991148601818 483.03841229937643 4.503442218669896e-05 0.00013510326656009688 1e-05 2.691133668014881 1.43350E-09 6.08785E-09
0.9177870250000001 575.8129526768139 448.1032232916804 4.201931119440766e-05 0.00012605793358322297 1e-05 2.8269114124410644 1.43340E-09 6.08018E-09
0.9787512249999999 561.5484175784904 416.72807894084536 3.927528731268168e-05 0.00011782586193804504 1e-05 2.964476749236814 1.43316E-09 6.07284E-09
1.0416756249999999 548.0305302973729 388.45614461619414 3.677285092197032e-05 0.00011031855276591096 1e-05 3.1037069616045407 1.43278E-09 6.06582E-09
1.106560225 535.1925085328463 362.90111119431594 3.448618109471492e-05 0.00010345854328414476 1e-05 3.2444691807167727 1.43227E-09 6.05905E-09
1.1734050249999999 522.9745996383948 339.7346175839653 3.2392636039010005e-05 9.717790811703001e-05 1e-05 3.3866191277739115 1.43162E-09 6.05252E-09
1.2422100249999999 511.3231056596071 318.67620311714626 3.047232385946452e-05 9.141697157839356e-05 1e-05 3.5299998189794417 1.43084E-09 6.04618E-09
