# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 300000.0yr
# R M_core M_env t_form
0.8894638289666869 0.10636238782667966 0.0025897658358408735 0.0
4.2524345527991185 0.12580858245142174 0.005880573370525933 0.0
8.97832848109788 0.17190885097100617 0.012856035926335812 0.0
19.34506180691718 0.150188175908897 0.010353083424255116 0.0
29.580769126973628 0.12539124111823283 0.007241459102024509 0.0
0.9882544512054816 0.010643422835741838 8.671945692585956e-05 0.0
4.923269599386196 0.012578773753507848 0.0003027670410280611 0.0
9.900604839988665 0.01717528329386463 0.0008188815191000566 0.0
19.936277983101384 0.01498666921929922 0.0005805835808247406 0.0
29.95923447611562 0.012506593661958797 0.0003106795005391042 0.0
