# Bitsch2015Model pb_gas_f: 0.1, migrate: True
# GasAccretionf_max: 0.8, f_py: 0.2, kappa_env: 0.05 cm^2 g^-1, rho_core: 5.5 g cm^-1
# PebbleAccretionHill
# CridaMigration 
#	 TypeIMigration gamma: 1.4
#	 TypeIIMigration
# time: 300000.0yr
# R M_core M_env t_form
0.8919087786408123 0.10378727439876488 0.0024069116664388276 0.0
4.374422421295579 0.10507622212507305 0.0037489326223767183 0.0
9.392600247361171 0.1041657537905379 0.004104422776205537 0.0
19.511384355481837 0.11148181153466678 0.005212949845925696 0.0
29.63935409687295 0.1065706478927923 0.0048767861208856645 0.0
0.9885440233086277 0.01038501984138859 6.216878250909373e-05 0.0
4.9366261542891055 0.010496807987211478 8.666780134399465e-05 0.0
9.940910218031377 0.010405803609345602 8.575308279726636e-05 0.0
19.952451281983624 0.01113607266912663 0.0001573760263342988 0.0
29.964930222239317 0.010646159468968871 0.00011295190894760284 0.0
